level,c1
1,http://dbpedia.org/resource/Category:Virtual_reality_organizations
1,http://dbpedia.org/resource/Category:Virtual_reality_communities
1,http://dbpedia.org/resource/Category:Holography
1,http://dbpedia.org/resource/Category:Virtual_reality_games
1,http://dbpedia.org/resource/Category:Virtual_reality_works
1,http://dbpedia.org/resource/Category:Virtual_reality_in_fiction
1,http://dbpedia.org/resource/Category:Haptic_technology
1,http://dbpedia.org/resource/Category:Ray_tracing_(graphics)
1,http://dbpedia.org/resource/Category:Psychoacoustics
1,http://dbpedia.org/resource/Category:Mixed_reality
1,http://dbpedia.org/resource/Category:Virtual_reality_pioneers
1,http://dbpedia.org/resource/Category:Virtual_avatars
1,http://dbpedia.org/resource/Category:Virtual_economy
1,http://dbpedia.org/resource/Category:Virtual_reality_headsets
1,http://dbpedia.org/resource/Category:Video_gaming
2,http://dbpedia.org/resource/Category:Virtual_reality_organizations
2,http://dbpedia.org/resource/Category:Virtual_reality_communities
2,http://dbpedia.org/resource/Category:Holography
2,http://dbpedia.org/resource/Category:Virtual_reality_games
2,http://dbpedia.org/resource/Category:Virtual_reality_works
2,http://dbpedia.org/resource/Category:Virtual_reality_in_fiction
2,http://dbpedia.org/resource/Category:Haptic_technology
2,http://dbpedia.org/resource/Category:Ray_tracing_(graphics)
2,http://dbpedia.org/resource/Category:Mixed_reality
2,http://dbpedia.org/resource/Category:Virtual_avatars
2,http://dbpedia.org/resource/Category:Virtual_economy
2,http://dbpedia.org/resource/Category:Virtual_reality_headsets
2,http://dbpedia.org/resource/Category:Video_gaming
3,http://dbpedia.org/resource/Category:DVD_interactive_technology
3,http://dbpedia.org/resource/Category:CD-ROM-based_consoles
3,http://dbpedia.org/resource/Category:Online_gaming_services
3,http://dbpedia.org/resource/Category:ALL.Net_games
3,http://dbpedia.org/resource/Category:Dedicated_consoles
3,http://dbpedia.org/resource/Category:Digital_rights_management
3,http://dbpedia.org/resource/Category:NESiCAxLive_games
3,http://dbpedia.org/resource/Category:Pack-in_video_games
3,http://dbpedia.org/resource/Category:Free-to-play_video_games
3,http://dbpedia.org/resource/Category:Video_game_compilations
3,http://dbpedia.org/resource/Category:Video_game_expansion_packs
3,http://dbpedia.org/resource/Category:Cloud_gaming
3,http://dbpedia.org/resource/Category:Video_games_with_downloadable_content
3,http://dbpedia.org/resource/Category:Episodic_video_games
3,http://dbpedia.org/resource/Category:Video_game_retailers
3,http://dbpedia.org/resource/Category:Video_game_downloadable_content_packs
3,http://dbpedia.org/resource/Category:LaserDisc_video_games
3,http://dbpedia.org/resource/Category:Cloud_gaming_services
3,http://dbpedia.org/resource/Category:Video_game_downloadable_content
3,http://dbpedia.org/resource/Category:Online_video_game_services
3,http://dbpedia.org/resource/Category:Subscription_video_game_services
3,http://dbpedia.org/resource/Category:Video_game_platform_emulators
3,http://dbpedia.org/resource/Category:Virtual_reality_organizations
3,http://dbpedia.org/resource/Category:Virtual_reality_communities
3,http://dbpedia.org/resource/Category:Holography
3,http://dbpedia.org/resource/Category:Virtual_reality_games
3,http://dbpedia.org/resource/Category:Virtual_reality_works
3,http://dbpedia.org/resource/Category:Virtual_reality_in_fiction
3,http://dbpedia.org/resource/Category:Haptic_technology
3,http://dbpedia.org/resource/Category:Ray_tracing_(graphics)
3,http://dbpedia.org/resource/Category:Psychoacoustics
3,http://dbpedia.org/resource/Category:Mixed_reality
3,http://dbpedia.org/resource/Category:Virtual_reality_pioneers
3,http://dbpedia.org/resource/Category:Virtual_avatars
3,http://dbpedia.org/resource/Category:Virtual_economy
3,http://dbpedia.org/resource/Category:Virtual_reality_headsets
3,http://dbpedia.org/resource/Category:Video_gaming
3,http://dbpedia.org/resource/Category:Video_game_art
3,http://dbpedia.org/resource/Category:Works_about_video_games
3,http://dbpedia.org/resource/Category:LGBT_and_video_games
3,http://dbpedia.org/resource/Category:Gender_and_video_games
3,http://dbpedia.org/resource/Category:Works_based_on_video_games
3,http://dbpedia.org/resource/Category:Video_game_censorship
3,http://dbpedia.org/resource/Category:Video_game_memes
3,http://dbpedia.org/resource/Category:Video_game_fandom
3,http://dbpedia.org/resource/Category:Video_game_journalism
3,http://dbpedia.org/resource/Category:Years_in_video_gaming
3,http://dbpedia.org/resource/Category:Video_game_law
3,http://dbpedia.org/resource/Category:Speedrunning
3,http://dbpedia.org/resource/Category:Video_game_websites
3,http://dbpedia.org/resource/Category:Video_game_webcomics
3,http://dbpedia.org/resource/Category:Video_game_cheating
3,http://dbpedia.org/resource/Category:Violence_in_video_games
3,http://dbpedia.org/resource/Category:Video_arcades
3,http://dbpedia.org/resource/Category:Gamer_advocacy_groups
