id,wikipageUrl
1,http://en.wikipedia.org/wiki/National_Film_Board_of_Canada
2,http://en.wikipedia.org/wiki/Animaze_Montreal_International_Film_Festival
3,http://en.wikipedia.org/wiki/Virtual_Reality_Applications_Center
4,http://en.wikipedia.org/wiki/VRAC
5,http://en.wikipedia.org/wiki/International_Stereoscopic_Union
6,http://en.wikipedia.org/wiki/Virtual_Reality_and_Education_Laboratory
7,http://en.wikipedia.org/wiki/Immerse_Learning
8,http://en.wikipedia.org/wiki/DiSTI
9,http://en.wikipedia.org/wiki/Global_Virtual_Reality_Association
10,http://en.wikipedia.org/wiki/Multiverse_Foundation
11,http://en.wikipedia.org/wiki/Blue_Brain_Project
12,http://en.wikipedia.org/wiki/Web3D_Consortium
13,http://en.wikipedia.org/wiki/VRTO
14,http://en.wikipedia.org/wiki/IBM_Virtual_Universe_Community
15,http://en.wikipedia.org/wiki/Festival_of_International_Virtual_%26_Augmented_Reality_Stories
16,http://en.wikipedia.org/wiki/Contact_consortium
17,http://en.wikipedia.org/wiki/Google_Expeditions
18,http://en.wikipedia.org/wiki/Horseland
19,http://en.wikipedia.org/wiki/Dotsoul
20,http://en.wikipedia.org/wiki/Punch_Entertainment#Games
21,http://en.wikipedia.org/wiki/Virtual_military
22,http://en.wikipedia.org/wiki/SmallWorlds
23,http://en.wikipedia.org/wiki/AltspaceVR
24,http://en.wikipedia.org/wiki/Worlds_Chat
25,http://en.wikipedia.org/wiki/Kidscom.com
26,http://en.wikipedia.org/wiki/Cityspace
27,http://en.wikipedia.org/wiki/Ameba_(website)
28,http://en.wikipedia.org/wiki/VTime_XR
29,http://en.wikipedia.org/wiki/Sinespace
30,http://en.wikipedia.org/wiki/Facebook_Horizon
31,http://en.wikipedia.org/wiki/Adobe_Atmosphere
32,http://en.wikipedia.org/wiki/Webkinz
33,http://en.wikipedia.org/wiki/Entropia_Universe
34,http://en.wikipedia.org/wiki/There_(virtual_world)
35,http://en.wikipedia.org/wiki/Virtual_airline_(hobby)
36,http://en.wikipedia.org/wiki/Google_Lively
37,http://en.wikipedia.org/wiki/Coolroom
38,http://en.wikipedia.org/wiki/Stardoll
39,http://en.wikipedia.org/wiki/Imagination_age
40,http://en.wikipedia.org/wiki/Marvel_Avengers_Alliance
41,http://en.wikipedia.org/wiki/VSide
42,http://en.wikipedia.org/wiki/Sansar_(video_game)
43,http://en.wikipedia.org/wiki/OZ_Virtual
44,http://en.wikipedia.org/wiki/Open_Cobalt
45,http://en.wikipedia.org/wiki/Metaplace
46,http://en.wikipedia.org/wiki/IMVU
47,http://en.wikipedia.org/wiki/Koinup
48,http://en.wikipedia.org/wiki/Active_Worlds
49,http://en.wikipedia.org/wiki/Rise:_The_Vieneo_Province
50,http://en.wikipedia.org/wiki/Habbo
51,http://en.wikipedia.org/wiki/Croquet_Project
52,http://en.wikipedia.org/wiki/Metaversum_GmbH
53,http://en.wikipedia.org/wiki/HiPiHi
54,http://en.wikipedia.org/wiki/ERepublik
55,http://en.wikipedia.org/wiki/Poptropica
56,http://en.wikipedia.org/wiki/Open_Roberta
57,http://en.wikipedia.org/wiki/Beanie_Babies
58,http://en.wikipedia.org/wiki/Pet_Society
59,http://en.wikipedia.org/wiki/CyberTown
60,http://en.wikipedia.org/wiki/MyCoke
61,http://en.wikipedia.org/wiki/Forterra_Systems
62,http://en.wikipedia.org/wiki/OpenLife_Grid
63,http://en.wikipedia.org/wiki/Metaverse_Shakespeare_Company
64,http://en.wikipedia.org/wiki/NeosVR
65,http://en.wikipedia.org/wiki/Diversity_University
66,http://en.wikipedia.org/wiki/Woozworld
67,http://en.wikipedia.org/wiki/The_Palace_(computer_program)
68,http://en.wikipedia.org/wiki/WeeWorld
69,http://en.wikipedia.org/wiki/OpenQwaq
70,http://en.wikipedia.org/wiki/Open_Source_Metaverse_Project
71,http://en.wikipedia.org/wiki/Twinity
72,http://en.wikipedia.org/wiki/Meet_Me
73,http://en.wikipedia.org/wiki/OurWorld
74,http://en.wikipedia.org/wiki/Second_Lives
75,http://en.wikipedia.org/wiki/Smeet
76,http://en.wikipedia.org/wiki/(Lil)_Green_Patch
77,http://en.wikipedia.org/wiki/MicroMUSE
78,http://en.wikipedia.org/wiki/Gaia_Online
79,http://en.wikipedia.org/wiki/Snap!_(programming_language)
80,http://en.wikipedia.org/wiki/Red_Light_Center
81,http://en.wikipedia.org/wiki/Whyville
82,http://en.wikipedia.org/wiki/Ai_Space
83,http://en.wikipedia.org/wiki/VRChat
84,http://en.wikipedia.org/wiki/Scratch_(programming_language)
85,http://en.wikipedia.org/wiki/Roblox
86,http://en.wikipedia.org/wiki/Solipsis
87,http://en.wikipedia.org/wiki/Kaneva
88,http://en.wikipedia.org/wiki/ParaEngine
89,http://en.wikipedia.org/wiki/CoSpaces
90,http://en.wikipedia.org/wiki/Rec_Room_(video_game)
91,http://en.wikipedia.org/wiki/Jason_Spanu
